LETSDEFEND TAKİP - letsdefend_courses (1)
NO;LINK;ROLE;PATH;COURSE NAME;DETAIL;LESSONS IN COURSE;TOTAL LESSONS;LESSON QUESTIONS;LESSON QUIZ;"DURATION 
(MIN)";RELATED CHALLENGE;DIFFICULTY;BADGE OR CERTIFICATE;SUBSCRIPTION;TOOLS;TOOL TYPES;TARGET;WRITEUP LINK;isReady to Writeup ?;EXTRA INFO
11;https://app.letsdefend.io/training/lessons/introduction-to-threat-hunting;Threat Hunter;-;Introduction to Threat Hunting;Learn the essentials of threat hunting in cybersecurity. This course teaches you to identify and analyze security threats, equipping you with real-world protection skills.;"Introduction
Threat Hunting Team and Competencies
Threat Hunting Methodologies
Hypothesis-Driven Approach
IoC-Based Approach
Threat Hunting Life Cycle";6;8;1;60;-;Easy;Badge;Premium;;;Mixed;-;No;-
12;https://app.letsdefend.io/training/lessons/data-recovery;DFIR;-;Data Recovery;Gain expert techniques in data recovery. Learn to retrieve lost information with practical skills and insights from industry professionals.;"Introduction to Data Recovery
Digital Forensics and Data Recovery
Data Carving
Data Recovery
Data Recovery with Autopsy
Hard Disk Drive(HDD) and Solid-State Drive(SSD)";6;12;1;120;-;Easy;Badge;Premium;;;Mixed;-;No;-
13;https://app.letsdefend.io/training/lessons/aws-forensics;Cloud Security Engineer;-;AWS Forensics;Learn AWS forensics techniques, focusing on cloud security investigations and threat analysis best practices.;"Introduction
Understanding the Cloud Forensics
Cloud Service Models
Shared Responsibility Model
Amazon IaaS (Infrastructure as a Service) Model
Digital Forensics on AWS
Memory Imaging on AWS
Disk Forensics on AWS";8;13;1;120;-;Easy;Badge;Premium;;;Mixed;-;No;-
14;https://app.letsdefend.io/training/lessons/before-the-dfir;DFIR;-;Before the DFIR;Build DFIR skills with 'Before the DFIR' covering methodology, preparation, tool selection, first response, and team communication essentials.;"Introduction
DFIR Methodology
Importance of the Preparation Phase
Selection of Tools and Techniques
First Response and Emergency Procedures
Team Communication and Coordination";6;8;1;60;-;Easy;Badge;Premium;;;Mixed;-;No;-
15;https://app.letsdefend.io/training/lessons/understanding-malware;DFIR;DFIR Learning Path;Understanding Malware;Explore malware intricacies with 'Understanding Malware': a DFIR-centric course to develop your skills in digital forensics and incident response.;"Introduction
Types of Malware
Threat Actor Groups
C2 Technologies";4;13;1;45;-;Easy;Badge;Premium;;;Mixed;-;No;-
16;https://app.letsdefend.io/training/lessons/software-development-basics-and-sdlc;Information Security Specialist;Information Security Specialist Career Path;Software Development Basics And SDLC;Discover the essentials of software development and explore the Software Development Life Cycle (SDLC) with our comprehensive course on LetsDefend.;"Introduction to Software Development Basics
Basic Definition for Software Development
Definition of SDLC and the Need for SDLC
SDLC Management Process
SDLC Engineering Process
SDLC Models
DevOps and DevSecOps
SDLC Standards And Guidelines";8;11;1;60;-;Easy;Badge;Premium;;;Mixed;-;No;-
17;https://app.letsdefend.io/training/lessons/new-generation-it-infrastructures;Information Security Specialist;Information Security Specialist Career Path;New Generation IT Infrastructures;Designed for InfoSec specialists, this course delves into advanced IT infrastructures, offering insights into cutting-edge technologies for a secure cybersecurity career.;"Introduction to New Generation IT Infrastructures
Cloud Computing
Virtualization
Internet of Things
Cyber Physical Systems";5;12;1;60;-;Easy;Badge;Premium;;;Mixed;-;No;-
18;https://app.letsdefend.io/training/lessons/business-continuity-management;Information Security Specialist;Information Security Specialist Career Path;Business Continuity Management;"Learn crucial strategies in ""Business Continuity Management."" Ensure your business stays resilient and operational during disruptions with this comprehensive course.";"Introduction to Business Continuity Management
Business Continuity Project Initiation
Business Impact Analysis
Resource Prioritization and Action Plan
Backup and Business Continuity Infrastructure
Training, Testing and Maintenance
Business Continuity Guidelines";7;9;1;60;-;Easy;Badge;Premium;;;Mixed;-;No;-
19;https://app.letsdefend.io/training/lessons/how-to-investigate-a-siem-alert;Security Analyst;"Career Switch to Cybersecurity
Cybersecurity for Students
SOC Analyst Learning Path";How to Investigate a SIEM Alert?;Learn how to effectively investigate SIEM alerts in our practical course. Boost your cybersecurity skills and stay ahead of threats!;"Introduction to SIEM Alerts
Detection
Case Creation and Playbook Initiation
Email Analysis
Network and Log Analysis
Endpoint Analysis
Result";7;20;-;120;-;Easy;Badge;Free;;;Mixed;-;No;-
20;https://app.letsdefend.io/training/lessons/computer-crime-and-legal-issues;Information Security Specialist;Information Security Specialist Career Path;Computer Crime and Legal Issues;Explore the intersection of technology and law in understanding, preventing, and prosecuting computer-related crimes.;"Introduction to Cybercrime and Legal Issues
Categorization of Computer Crimes
Categorization of Legal Systems and Laws
Important Laws and Regulations
Intellectual Property Protection
Investigation Process and Evidence";6;8;1;120;-;Easy;Badge;Premium;;;Mixed;-;No;-
21;https://app.letsdefend.io/training/lessons/physical-security;Information Security Specialist;Information Security Specialist Career Path;Physical Security;Master the art of safeguarding digital infrastructure with expertly crafted physical security strategies in this indispensable Blue Team course.;"Introduction to Physical Security
Developing A Physical Security Roadmap
Site Selection and Positioning of Critical Systems
Physical Security Controls
Environmental Controls
Fire Prevention, Detection, and Suppression";6;7;1;60;-;Easy;Badge;Premium;;;Mixed;-;No;-
22;https://app.letsdefend.io/training/lessons/security-audit-and-testing;Information Security Specialist;"Information Security Specialist Career Path
Google Cybersecurity Certificate Preparation Path";Security Audit and Testing;Learn how to assess and enhance the security posture of systems through comprehensive auditing and testing methodologies.;"Introduction to Security Audit and Testing
Security Audit
Security Controls and Penetration Tests - 1
Security Controls and Penetration Tests - 2
Functional Controls";5;8;1;60;-;Easy;Badge;Premium;;;Mixed;-;No;-
23;https://app.letsdefend.io/training/lessons/aws-identity-and-access-management;Cloud Security Engineer;AWS Security Learning Path;AWS Identity and Access Management;Learn how to effectively manage user identities and control access to AWS resources.;"Introduction to AWS IAM
IAM Basics and Concepts
User Management
Group and Role Management
Group and Role Management - 2
Policy Management
Access Keys and Multi-factor Authentication (MFA)";7;14;-;60;-;Easy;Badge;Premium;;;Mixed;-;No;-
24;https://app.letsdefend.io/training/lessons/aws-incident-manager-system-manager;Cloud Security Engineer;AWS Security Learning Path;AWS Incident Manager - System Manager;Learn to effectively manage and respond to incidents within AWS environments using Incident Manager and System Manager tools.;"Introduction to AWS Incident Management
What is AWS System Manager?
AWS Incident Manager
AWS Incident Manager Real-World Example";4;10;-;60;-;Easy;Badge;Premium;;;Mixed;-;No;-
25;https://app.letsdefend.io/training/lessons/siem-basics-installation-and-configuration;Detection Engineer;"SIEM Engineer Career Path
CompTIA CySA+ Preparation Path
Detection Engineering Path";SIEM Basics, Installation and Configuration;Discover the fundamentals of SIEM through hands-on installation and configuration guidance in this course;"Introduction to SIEM
SIEM Components
Common SIEM Products
SIEM Installation Planning
SIEM Installation Planning - 2
SIEM Installation and Configuration
To-Do List after SIEM Installation";7;9;1;45;-;Easy;Badge;Free;;;Mixed;-;No;-
26;https://app.letsdefend.io/training/lessons/introduction-to-powershell;Detection Engineer;"Detection Engineering Path
Programming for Cybersecurity";Introduction to PowerShell;Discover PowerShell essentials: installation, commands, optimization, and error handling;"Introduction to PowerShell
Installing the Powershell Environment
Basics of Powershell Commands
Basics of Powershell Commands - 2
File and Directory Operations in Powershell
Optimization and Error Handling";6;14;1;120;-;Easy;Badge;Premium;;;Mixed;-;No;-
27;https://app.letsdefend.io/training/lessons/password-management;Detection Engineer;Detection Engineering Path;Password Management;Secure your digital world with our Password Management course, empowering you to protect your valuable information;"Password Creation Principles
Password Update and Change
Password Storage and Encryption
Password Sharing and Communication
Password Theft and Threats
Password Managers and Automatic Encryption Tools";6;10;1;60;-;Easy;Badge;Premium;;;Mixed;-;No;-
28;https://app.letsdefend.io/training/lessons/network-packet-analysis;Security Analyst;"Google Cybersecurity Certificate Preparation Path
CompTIA CySA+ Preparation Path";Network Packet Analysis;Master network analysis: diagnose issues, detect threats, optimize performance with packet inspection. Learn protocols & tools.;"Introduction to Network Packet Analysis
TcpDump
Wireshark
Tshark
NetworkMiner";5;8;1;120;-;Easy;Badge;Free;;;Mixed;-;No;-
29;https://app.letsdefend.io/training/lessons/cyber-kill-chain;Security Analyst;"CompTIA CySA+ Preparation Path
SOC Analyst Learning Path";Cyber Kill Chain;Cyber Kill Chain is important for the SOC analyst to have a better understanding of the stages of a cyber attack and to determine which action(s) the cyber attack starts with and which action(s) follows.;"Introduction to Cyber Kill Chain
Cyber Kill Chain Steps
Reconnaissance
Weaponization
Delivery
Exploitation
Installation
Command and Control (C2)
Actions on Objectives";9;13;1;60;-;Easy;Badge;Free;;;Mixed;-;No;-
30;https://app.letsdefend.io/training/lessons/mitre-attck-framework;Security Analyst;"CompTIA CySA+ Preparation Path
SOC Analyst Learning Path";MITRE ATT&CK Framework;MITRE ATT&CK Framework, an important structure for SOC analysts will be covered. This is an entry-level training that consists mainly of theoretical knowledge.;"Introductory Information About MITRE Course
Introduction to MITRE
Matrix
Tactics
Techniques and Sub-Techniques
Mitigations
Groups
Software";8;19;1;60;-;Easy;Badge;Free;;;Mixed;-;No;-
31;https://app.letsdefend.io/training/lessons/network-protocols-2;Security Analyst;"Career Switch to Cybersecurity
Cybersecurity for Students
Google Cybersecurity Certificate Preparation Path";Network Protocols - 2;Learn fundamentals of the application level protocols such as FTP, HTTP, SSH, etc.;"Introduction to Network Protocols - 2
File Transfer Protocol (FTP) - 1
File Transfer Protocol (FTP) - 2
Secure Shell Protocol (SSH)
Hypertext Transfer Protocol (HTTP) - 1
Hypertext Transfer Protocol (HTTP) - 2
Dynamic Host Configuration Protocol (DHCP)";70;20;1;120;-;Easy;Badge;Free;;;Mixed;-;No;-
32;https://app.letsdefend.io/training/lessons/security-solutions;Security Analyst;"Google Cybersecurity Certificate Preparation Path
SOC Analyst Learning Path";Security Solutions;Get familiar with Firewall, IPS/IDS, Antivirus, EDR and more!;"Introduction to Security Solutions
Intrusion Detection System (IDS)
Intrusion Prevention System (IPS)
Firewall
Endpoint Detection and Response (EDR)
Antivirus Software (AV)
Sandbox Solutions
Data Loss Prevention (DLP)
Asset Management Solutions
Web Application Firewall (WAF)
Load Balancer
Proxy Server
Email Security Solutions";13;28;1;180;-;Easy;Badge;Premium;;;Mixed;-;No;-
33;https://app.letsdefend.io/training/lessons/network-protocols-2;Security Analyst;"Career Switch to Cybersecurity
Cybersecurity for Students
Google Cybersecurity Certificate Preparation Path";Network Protocols;If you want to investigate suspicious network activities, you need to know how network protocols work and what evidence you can extract. Learn how it works and how you can use it as an analyst.;"Introduction to Network Protocols
Transmission Control Protocol (TCP) - 1
Transmission Control Protocol (TCP) - 2
User Datagram Protocol (UDP)
Domain Name System (DNS) - 1
Domain Name System (DNS) - 2
Telnet (Teletype Network) Protocol";70;20;1;120;-;Easy;Badge;Free;;;Mixed;-;No;-
34;https://app.letsdefend.io/training/lessons/network-fundamentals-ii;Security Analyst;"Career Switch to Cybersecurity
Cybersecurity for Students
Google Cybersecurity Certificate Preparation Path
CompTIA CySA+ Preparation Path";Network Fundamentals II;With this course, you'll get deep into the network details.;"Introduction to Network Fundamentals 2
Basic Concepts
Virtual Local Area Network (VLAN)
Virtual Private Network (VPN)
Network Protocols
OSI Reference Model
Media Access Control (MAC) Address
Address Resolution Protocol (ARP)
Internet Protocol (IP)
Internet Control Message Protocol (ICMP)
Routing";11;25;1;90;-;Easy;Badge;Premium;;;Mixed;-;DONE;-
35;https://app.letsdefend.io/training/lessons/malware-analysis-fundamentals;Security Analyst;"Career Switch to Cybersecurity
Cybersecurity for Students
CompTIA CySA+ Preparation Path
Malware Analysis Skill Path
SOC Analyst Learning Path";Malware Analysis Fundamentals;Malware Analysis Fundamentals;"Introduction to Malware Analysis
How Malware Analysis Help SOC Analysts
Malware Definition and Malware Types
What Should a Malware Analyst Know
Which Approach Should You Choose When Analyzing Malware?
Dynamic Analysis Example Using AnyRun
29 Addresses to Analyze Malware Faster
Practice with SOC Alert
14 - SOC104 - Malware Detected
83 - SOC119 - Proxy - Malicious Executable File Detected
36 - SOC104 - Malware Detected
85 - SOC109 - Emotet Malware Detected
CHALLENGE - Malicious Doc
CHALLENGE - Malicious VBA
CHALLENGE - Remote Working";7;13;1;-;3;Easy;Badge;Free;;;Mixed;-;No;-
36;https://app.letsdefend.io/training/lessons/google-cloud-forensics;Cloud Security Engineer;-;Google Cloud Forensics;Elevate your Google Cloud Forensics skills through practical exercises. Strengthen your cybersecurity expertise and effectively secure cloud environments.;;;;;;;Medium;Badge;Premium;;;Mixed;-;No;-
37;https://app.letsdefend.io/training/lessons/linux-data-acquisition;DFIR;-;Linux Data Acquisition;Learn Linux data acquisition to boost your cybersecurity skills. Acquire practical techniques for effectively safeguarding vital information today.;;;;;;;Medium;Badge;Premium;;;Mixed;-;No;-
38;https://app.letsdefend.io/training/lessons/azure-forensics;Cloud Security Engineer;-;Azure Forensics;Explore Azure Forensics to build essential skills for investigating cloud security incidents. Engage with real-world scenarios to safeguard data.;;;;;;;Medium;Badge;Premium;;;;-;No;-
39;https://app.letsdefend.io/training/lessons/windows-data-acquisition;DFIR;DFIR Learning Path;Windows Data Acquisition;"Enhance your cybersecurity skills with the ""Windows Data Acquisition"" course on LetsDefend. Master techniques for effective data retrieval and analysis on Windows systems.";;;;;;;Medium;Badge;Premium;;;;-;No;-
40;https://app.letsdefend.io/training/lessons/basics-of-hard-disks-and-file-systems;DFIR;DFIR Learning Path;Basics of Hard Disks and File Systems;Explore the fundamentals of hard disks and file systems in this course, essential for Digital Forensics and Incident Response (DFIR) skills.;;;;;;;Medium;Badge;Premium;;;;-;No;-
41;https://app.letsdefend.io/training/lessons/identity-and-access-management;Information Security Specialist;Information Security Specialist Career Path;Identity and Access Management;"Develop critical cybersecurity skills with the ""Identity and Access Management"" course on LetsDefend.";;;;;;;Medium;Badge;Premium;;;;-;No;-
42;https://app.letsdefend.io/training/lessons/asset-management-and-data-classification;Information Security Specialist;Information Security Specialist Career Path;Asset Management and Data Classification;Learn asset management and data classification. Master asset categorization, valuation, and data protection techniques for robust cyber defense.;;;;;;;Medium;Badge;Premium;;;;-;No;-
43;https://app.letsdefend.io/training/lessons/dfir-with-edr;DFIR;DFIR Learning Path;DFIR with EDR;Gain practical DFIR skills with EDR in this course. Learn to detect, analyze, and respond to cyber threats effectively. Advance your cybersecurity expertise today!;;;;;;;Medium;Badge;Premium;;;;-;No;-
44;https://app.letsdefend.io/training/lessons/advanced-windows-forensics;DFIR;-;Advanced Windows Forensics;"Discover ""Advanced Windows Forensics,"" a course designed to teach advanced techniques for investigating, analyzing, and solving complex cybercrimes. Ideal for professionals.";;;;;;;Medium;Badge;Premium;;;;-;No;-
45;https://app.letsdefend.io/training/lessons/aws-shield;Cloud Security Engineer;AWS Security Learning Path;AWS Shield;Learn AWS Shield essentials: Secure your cloud infrastructure with effective DDoS protection strategies for reliable application defense on Amazon Web Services.;;;;;;;Medium;Badge;Premium;;;;-;No;-
46;https://app.letsdefend.io/training/lessons/email-forensics;DFIR;DFIR Learning Path;Email Forensics;"Explore the intricacies of email evidence with our ""Email Forensics"" course, focusing on investigation and analysis techniques.";;;;;;;Medium;Badge;Premium;;;;-;No;-
47;https://app.letsdefend.io/training/lessons/information-security-guidelines;Information Security Specialist;Information Security Specialist Career Path;Information Security Guidelines;Learn critical Information Security Guidelines to safeguard data and enhance cybersecurity skills with our comprehensive course.;;;;;;;Medium;Badge;Premium;;;;-;No;-
48;https://app.letsdefend.io/training/lessons/anti-forensic-techniques;DFIR;DFIR Learning Path;Anti-Forensic Techniques;Learn advanced strategies to conceal digital traces in our 'Anti-Forensic Techniques' course for cybersecurity professionals.;;;;;;;Medium;Badge;Premium;;;;-;No;-
49;https://app.letsdefend.io/training/lessons/network-forensics;DFIR;DFIR Learning Path;Network Forensics;Discover Network Forensics techniques through hands-on labs using advanced cybersecurity tools.;;;;;;;Medium;Badge;Premium;;;;-;No;-
50;https://app.letsdefend.io/training/lessons/system-architecture-and-hardware-security;Information Security Specialist;Information Security Specialist Career Path;System Architecture and Hardware Security;Explore the relationship between system architecture and hardware security in this course.;;;;;;;Medium;Badge;Premium;;;;-;No;-
51;https://app.letsdefend.io/training/lessons/risk-management;Information Security Specialist;Information Security Specialist Career Path;Risk Management;Strengthen the risk management skills of information security professionals with specialized training tailored to the digital environment.;;;;;;;Medium;Badge;Premium;;;;-;No;-
52;https://app.letsdefend.io/training/lessons/cloud-armor-network-security;Cloud Security Engineer;-;Cloud Armor Network Security;Learn how to safeguard your cloud infrastructure with advanced network security techniques in the Cloud Armor Network Security course.;;;;;;;Medium;Badge;Premium;;;;-;No;-
53;https://app.letsdefend.io/training/lessons/aws-cloudtrail-unveiling-aws-account-activity;Cloud Security Engineer;AWS Security Learning Path;AWS CloudTrail: Unveiling AWS Account Activity;AWS CloudTrail allows for detailed monitoring and auditing of your AWS account activity, enabling robust security and compliance measures for your cloud environment.;;;;;;;Medium;Badge;Premium;;;;-;No;-
54;https://app.letsdefend.io/training/lessons/information-security-basics;Information Security Specialist;Information Security Specialist Career Path;Information Security Basics;This course equips learners with vital skills to fortify digital defenses against evolving cyber threats in information security.;;;;;;;Medium;Badge;Premium;;;;-;No;-
55;https://app.letsdefend.io/training/lessons/amazon-virtual-private-cloud-vpc;Cloud Security Engineer;AWS Security Learning Path;Amazon Virtual Private Cloud (VPC);This course covers Amazon Virtual Private Cloud (VPC) to enhance your understanding of cloud security in AWS environments.;;;;;;;Medium;Badge;Premium;;;;-;No;-
56;https://app.letsdefend.io/training/lessons/gcp-cloud-logging;Cloud Security Engineer;-;GCP Cloud Logging;Explore the essentials of Google Cloud Platform (GCP) Cloud Logging in this course, gaining expertise in efficient log management, analysis within the GCP environment.;;;;;;;Medium;Badge;Premium;;;;-;No;-
57;https://app.letsdefend.io/training/lessons/aws-waf;Cloud Security Engineer;AWS Security Learning Path;AWS WAF: Defending Web Applications in the Cloud;Learn to secure web applications in the cloud with 'AWS WAF,' mastering defense strategies for enhanced protection;;;;;;;Medium;Badge;Premium;;;;-;No;-
58;https://app.letsdefend.io/training/lessons/aws-s3-basics;Cloud Security Engineer;AWS Security Learning Path;AWS S3 Basics;Discover AWS S3 basics in cybersecurity, emphasizing secure data storage practices;;;;;;;Medium;Badge;Premium;;;;-;No;-
59;https://app.letsdefend.io/training/lessons/organizational-structure-and-human-resource;Information Security Specialist;Information Security Specialist Career Path;Organizational Structure and Human Resource Security;Navigate organizational security with a focus on structure and human resources in this insightful course.;;;;;;;Medium;Badge;Premium;;;;-;No;-
60;https://app.letsdefend.io/training/lessons/aws-cloudwatch;Cloud Security Engineer;AWS Security Learning Path;AWS CloudWatch;Master AWS CloudWatch for cybersecurity, gaining advanced insights and proactive monitoring capabilities to fortify and safeguard your cloud infrastructure.;;;;;;;Medium;Badge;Premium;;;;-;No;-
61;https://app.letsdefend.io/training/lessons/soar-fundamentals;Detection Engineer;"SIEM Engineer Career Path
CompTIA CySA+ Preparation Path
Detection Engineering Path";SOAR Fundamentals;Acquire foundational knowledge in Security Orchestration, Automation, and Response (SOAR) in this introductory course;;;;;;;Medium;Badge;Premium;;;;-;No;-
62;https://app.letsdefend.io/training/lessons/cyber-threat-intelligence-for-detection;Detection Engineer;Detection Engineering Path;Cyber Threat Intelligence for Detection;Learn how to use Cyber Threat Intelligence to develop effective strategies for detecting threats in cybersecurity;;;;;;;Medium;Badge;Premium;;;;-;No;-
63;https://app.letsdefend.io/training/lessons/xdr-edr-threat-analysis-custom-rule;Detection Engineer;Detection Engineering Path;XDR/EDR Threat Analysis & Custom Rule;Master threat analysis and custom rule creation in XDR and EDR platforms with our specialized course;;;;;;;Medium;Badge;Premium;;;;-;No;-
64;https://app.letsdefend.io/training/lessons/introduction-to-python;Detection Engineer;"Google Cybersecurity Certificate Preparation Path
CompTIA CySA+ Preparation Path
Detection Engineering Path
Programming for Cybersecurity";Introduction to Python;Master Python for cybersecurity threat detection as a detection engineer;;;;;;;Medium;Badge;Premium;;;;-;No;-
65;https://app.letsdefend.io/training/lessons/introduction-to-bash-scripting;Detection Engineer;"Google Cybersecurity Certificate Preparation Path
Detection Engineering Path
Programming for Cybersecurity";Introduction to Bash Scripting;Enhance your skills in cybersecurity detection with introductory Bash scripting.;;;;;;;Medium;Badge;Premium;;;;-;No;-
66;https://app.letsdefend.io/training/lessons/windows-system-security-2;Detection Engineer;Detection Engineering Path;Windows System Security - 2;Advanced Windows System Security course: Elevate your expertise in securing Windows-based systems with in-depth insights and hands-on techniques.;;;;;;;Medium;Badge;Premium;;;;-;No;-
67;https://app.letsdefend.io/training/lessons/authentication-and-authorization;Detection Engineer;Detection Engineering Path;Authentication and Authorization;Empower detection engineers with cybersecurity authentication and authorization expertise;;;;;;;Medium;Badge;Premium;;;;-;No;-
68;https://app.letsdefend.io/training/lessons/spring4shell;Incident Responder;-;Spring4Shell;This course covers the Spring4Shell vulnerability, teaching effective detection and mitigation strategies;;;;;;;Medium;Badge;Free;;;;-;No;-
69;https://app.letsdefend.io/training/lessons/introduction-to-system-security-2;Detection Engineer;Detection Engineering Path;Introduction to System Security - 2;Continue to learn System Security details;;;;;;;Medium;Badge;Free;;;;-;No;-
70;https://app.letsdefend.io/training/lessons/introduction-to-system-security;Detection Engineer;Detection Engineering Path;Introduction to System Security;For detection engineers, this course delves into system security, emphasizing threat detection and prevention;"System Security Overview
Operating Systems
Process and Memory Management
File and Network Management
Patch Management, Update and Upgrade
Log Infrastructure";6;11;1;45;-;Medium;Badge;Premium;-;-;Mixed;-;Done;-
71;https://app.letsdefend.io/training/lessons/network-security;Detection Engineer;"SIEM Engineer Career Path
Detection Engineering Path";Network Security;Learn how to secure networks effectively and protect against potential threats;;;;;;;Medium;Badge;Premium;;;;-;No;-
72;https://app.letsdefend.io/training/lessons/linuxunix-system-security;Detection Engineer;Detection Engineering Path;Linux/Unix System Security;Learn how to safeguard Linux/Unix systems with comprehensive security measures in this in-depth course.;;;;;;;Medium;Badge;Premium;;;;-;No;-
73;https://app.letsdefend.io/training/lessons/saml-vulnerabilities-and-detection;Incident Responder;-;SAML Vulnerabilities and Detection;Detect SAML attacks effectively to secure your organization's systems.;;;;;;;Medium;Badge;Premium;;;;-;No;-
